popularity,budget,cast,release_date,voteScore,revenue
14.311205,170000000,60,5,39284,773312399
12.971027,170000000,101,3,26936,714766572
11.422751,20000000,62,1,18984,78739897
10.739009,125000000,75,4,21540,752100229
10.174599,250000000,29,4,21770,955119788
8.691294,165000000,9,1,29295,652105443
8.110711,14000000,30,4,27824,233555708
7.137273,34000000,9,1,23975,348319861
6.907148,18000000,76,1,19607,103215094
6.438727,61000000,54,1,26040,369330363
6.415818,68000000,74,1,18004,211817906
6.286692,127000000,92,4,6666,349424282
6.14502,85000000,40,3,18228,288747895
6.052479,250000000,76,5,28042,746000000
5.947136,40000000,58,5,22194,463360063
5.787396,125000000,25,2,9180,477200000
5.701683,40000000,57,5,5750,126069509
5.522641,8500000,51,1,14609,38697217
4.983782,210000000,50,5,10805,245500000
4.93082,30000000,44,2,19614,174600318
4.780419,3300000,25,1,18976,13993093
4.452507,170000000,35,5,18375,708200000
4.145209,55000000,59,1,14700,192330738
4.105685,42000000,75,4,6198,106645357
4.101979,200000000,48,3,16878,705717432
3.990452,178000000,80,5,22869,370541256
3.989231,44000000,52,4,9942,11305175
3.863074,58800000,29,4,21028,542307423
3.81374,140000000,61,4,6885,268031828
3.689601,160000000,35,5,13014,529076069
3.582315,180000000,44,5,20496,758410378
3.573028,15000000,29,2,2886,32556119
3.489314,5000000,9,1,2276,102529779
3.489106,145000000,77,5,15064,609123048
3.393741,2000000,7,2,6018,13500000
3.34625,90000000,146,2,7650,206172544
3.327799,60000000,28,2,15876,469160692
3.260581,95000000,63,4,3375,114178613
3.170271,15000000,37,4,13720,121201940
3.14993,17000000,14,2,5472,136621271
3.028769,70000000,21,1,9996,215529201
3.007018,132000000,23,4,5634,373552094
2.996038,50000000,66,4,5475,212902372
2.979181,110000000,21,3,9984,337580051
2.881991,25000000,63,2,6906,66980456
2.805019,50000000,57,5,16912,188441614
2.777996,28000000,42,1,4938,53181600
2.721864,55000000,52,4,4242,259207227
2.692691,7000000,57,1,1530,2360281
2.67235,11000000,63,5,6062,45967935
2.611251,9000000,14,5,6756,108782847
2.601775,16000000,58,1,759,19682924
2.595951,4000000,37,5,9401,44349000
2.576396,20000000,33,4,2304,12007070
2.549403,100000000,53,5,6075,243400000
2.526779,125000000,83,3,7945,362637473
2.523101,50000000,68,1,6818,83719388
2.445165,40000000,58,5,4320,123494610
2.376309,18000000,49,5,10974,268157400
2.361267,11000000,27,2,5992,78874843
2.303556,45000000,13,5,2526,86165646
2.293859,12000000,24,5,16723,305151265
2.165462,25000000,55,2,3804,153997819
2.160156,20000000,88,4,3312,11110975
2.141491,60000000,53,2,4365,50549107
2.136758,50000000,72,2,9888,222809600
2.116264,5500000,32,2,7952,3000000
1.957672,12600000,33,1,3498,18658381
1.940735,120000000,54,2,8545,239379423
1.904422,100000000,97,3,7775,103039258
1.900038,40000000,45,3,6336,196781193
1.894706,145000000,20,2,3552,272912430
1.840817,65000000,88,2,5142,39407616
1.811692,103000000,75,3,3954,500188435
1.805954,40000000,57,4,3950,169837010
1.779861,70000000,136,2,5415,154984035
1.769987,65000000,17,4,6867,163442937
1.754707,20000000,29,4,4060,66787908
1.737699,4900000,5,5,3112,3494070
1.649321,15000000,34,4,4062,52501541
1.638781,130000000,28,2,4185,117831631
1.63015,26000000,41,1,3745,35926213
1.58801,65000000,69,4,1986,133821816
1.545055,50000000,55,1,3717,97437106
1.542392,13000000,64,1,3717,54837234
1.541069,66000000,19,3,6702,203277636
1.449046,22000000,28,2,2464,88880821
1.440084,60000000,36,1,2988,108255770
1.398713,10000000,48,4,4260,28883511
1.394382,18000000,75,2,660,266586800
1.319416,4000000,29,3,2000,600896
1.3155,50000000,9,2,2860,160602194
1.240895,50000000,44,5,1115,151165787
1.214094,35000000,49,3,2110,17508518
1.146492,13200000,29,1,525,53830415
1.142614,5000000,85,4,5075,41797583
1.140302,5000000,5,2,3006,40100000
1.136851,24000000,72,5,3870,12096300
1.077877,20000000,22,2,2142,34077920
1.052381,12250000,37,5,984,2295423
1.041267,24000000,32,5,1050,70181428
1.039133,15000000,28,4,966,9104716
1.027357,15000000,43,5,2010,59209
1.018115,6500000,12,1,4135,255273813
0.989916,65000000,49,2,2505,71154592
0.988081,8000000,28,2,4278,26049082
0.98174,27000000,58,3,1242,28831145
0.979655,28000000,23,3,2380,68896829
0.967846,2000000,7,5,6534,6676471
0.966048,20000000,72,5,1905,100525432
0.92537,60000000,84,2,1635,30800231
0.916435,5000000,15,1,2412,2367161
0.893121,22500000,38,4,1722,15520023
0.890965,5000000,7,1,776,6833445
0.876514,28000000,40,1,2280,100654149
0.876066,19800000,45,1,2262,41296320
0.870104,16000000,76,5,900,2429989
0.805839,8500000,55,1,1305,7500000
0.797723,40000000,28,5,1086,67347013
0.796721,12500000,38,2,825,49002684
0.786398,25000000,29,5,1092,38307627
0.778247,5500000,28,2,1152,5483299
0.777096,6700000,41,2,532,1430655
0.757089,13300000,24,3,4224,5380251
0.751773,6000000,13,3,1938,3485127
0.740796,22000000,5,2,305,67800064
0.728025,6000000,38,2,774,15071
0.72546,3500000,24,2,987,5155325
0.722877,8500000,61,2,1160,770706
0.714661,15000000,39,2,564,30127963
0.688179,2000000,33,5,115,48390
0.667732,200000,12,3,735,17834867
0.660405,15000000,80,5,2358,31554855
0.646337,6500000,10,4,936,13865435
0.635214,6600000,45,2,1038,1554000
0.632048,5000000,51,1,1482,2450846
0.615729,1000000,7,1,685,9318
0.602735,2000000,20,3,2880,4635300
0.599079,36000000,55,1,378,52424533
0.590257,1000000,9,4,1080,26501323
0.574398,50000000,20,3,1332,80383113
0.559472,2800000,29,1,824,1826705
0.548656,6000000,57,1,280,1020921
0.540852,12000000,30,3,954,101332962
0.49584,70000000,9,2,1596,61279452
0.485296,30000000,47,5,555,25312387
0.470651,2400000,33,2,564,88273
0.446458,5500000,47,1,75,5000000
0.407983,6000000,37,2,290,32251
0.403579,1000000,5,2,1022,395000
0.401153,318000,5,3,852,121179
0.398601,7000000,34,1,570,14618727
0.386307,5000000,10,3,460,10429707
0.382434,13000000,5,5,1115,45300000
0.350612,25000000,76,4,2025,39171130
0.34162,12700000,28,5,378,3430018
0.340308,4000000,51,3,1242,2365467
0.318941,500000,46,3,56,15000000
0.317225,5000000,59,3,300,75143
0.300442,17000000,10,3,876,29789000
0.283225,7000000,8,2,656,36433975
0.751476,5000000,44,1,390,4013786
0.19104,8000000,33,2,100,53086
0.151591,5900000,5,5,100,23000000
12.037933,11000000,53,3,30996,775398007
2.379469,14000000,15,5,1674,185438673
1.719385,1200000,9,5,1992,71215869
1.179653,4000000,34,3,3451,38251425
1.104816,20000000,25,4,4200,303788635
1.048838,22000000,64,5,654,50750000
0.75125,3500000,6,5,75,16000000
0.602862,3500000,30,4,1152,237113184
0.560826,3400000,26,4,174,31063038
0.49548,5500000,34,4,270,26414658
0.375967,14000000,24,5,224,30749142
0.373131,6000000,16,3,125,30000000
0.331417,10000,7,3,1358,7000000
0.228797,6000000,15,5,125,14717854
0.219941,22000000,12,5,336,12000000
0.191541,810000,8,2,60,1258000
0.164123,500000,15,2,80,17000000
0.175657,1200000,6,2,156,9000000
0.137351,230000,5,5,342,25000000
9.432768,237000000,61,4,59206,2781505847
6.098027,70000000,63,2,27783,319131050
5.806897,35000000,36,2,5874,91327197
5.076472,250000000,41,5,22540,933959197
4.908902,175000000,36,5,29575,731342744
3.82957,150000000,42,5,23919,385680446
3.789633,200000000,50,5,8350,371353001
3.744956,30000000,12,2,14987,210819611
3.431559,90000000,76,2,24708,524028679
3.244139,7500000,48,5,12446,60722734
3.154914,90000000,62,5,8352,886686817
3.15306,35000000,50,5,28938,459270619
3.038063,130000000,46,3,10506,185258983
2.979786,200000000,61,1,17665,769653595
2.846465,30000000,73,2,5106,48428063
2.841562,150000000,79,5,7650,356613439
2.463982,105000000,10,4,4236,267045765
2.367474,29000000,45,4,7546,309208309
2.041804,23600000,72,1,15155,102391382
1.971027,50000000,44,3,6940,709827462
1.926432,40000000,96,2,3672,177259441
1.906998,175000000,76,2,7350,302469017
1.895894,40000000,66,5,6504,317375031
1.860267,38000000,31,5,3504,205298907
1.849649,100000000,43,1,6696,242988466
1.826169,40000000,89,1,4977,46471023
1.75384,60000000,21,2,4977,124596398
1.752134,150000000,115,5,5540,413106170
1.732516,20000000,27,3,4590,136267476
1.714887,200000000,59,4,3714,325233863
1.673879,65000000,93,4,3600,93525586
1.641739,26000000,19,2,2550,183293131
1.575231,16000000,42,5,6832,47801389
1.542135,53000000,59,1,6300,126690726
1.535278,30000000,58,1,1480,33333531
1.487114,20000000,44,3,2800,34560577
1.453639,33000000,47,1,2436,20645327
1.398364,30000000,29,3,2988,90842646
1.357091,50000000,65,3,4085,155446362
1.328218,5000000,39,5,7189,9760104
1.324927,150000000,66,5,1700,292817841
1.30199,100000000,87,5,3306,150166126
1.297769,18500000,44,1,1525,31912793
1.290519,40000000,55,2,2670,108332743
1.267182,50000000,42,1,2420,40828540
1.26001,47000000,31,1,5789,3547209
1.232312,70000000,67,1,1860,171844840
1.223786,26000000,64,2,2286,43318349
1.218657,32000000,88,4,3600,27635305
1.194455,175000000,76,3,5592,381509870
1.159118,3000000,19,5,744,2357852
1.14937,40000000,67,2,2046,129540499
1.145724,15000000,80,3,1485,8459458
1.138277,80000000,90,5,5118,214104620
1.104112,16000000,46,1,2205,31556061
1.099003,20000000,33,5,4242,41596251
1.085541,15000000,61,1,768,40105542
1.083957,40000000,5,2,2360,186167139
1.080415,75000000,44,4,2070,443140005
1.075405,4500000,74,4,650,3606395
1.074072,30000000,46,2,2505,114663461
1.065548,10000000,16,4,1230,63647833
1.043738,60000000,98,3,1542,87784194
1.039442,16000000,51,2,744,76514050
1.037708,14700000,69,1,580,8049666
1.022125,41000000,40,3,1824,91636986
1.018005,22000000,51,1,1020,35424826
1.014706,50000000,49,3,1540,106303988
0.999299,27000000,31,2,1788,29000000
0.967776,50000000,62,3,2744,36348784
0.966959,20000000,73,2,1840,51416464
0.965516,39000000,32,2,2868,101229792
0.953705,11000000,32,5,1998,791867
0.908112,18000000,65,1,585,36133014
0.907448,38000000,46,2,1835,45465299
0.905416,17000000,87,2,966,29536299
0.90173,11000000,19,1,1895,68233629
0.894268,35000000,61,3,1206,27409889
0.884343,7000000,8,1,1440,31430334
0.883984,14000000,56,5,1110,22852638
0.850476,40000000,34,1,570,12206028
0.8342,13000000,71,2,1866,10652035
0.830597,13000000,5,5,1365,754249
0.826039,20000000,13,3,650,17280326
0.816681,9000000,7,4,4634,70000000
0.813323,150000000,44,5,13380,836297228
0.811236,24000000,107,1,2175,68729358
0.796761,40000000,13,1,1308,60462347
0.790326,20000000,22,2,375,5210988
0.78639,100000000,41,1,1872,100086793
0.786159,85000000,78,4,1350,219103655
0.760048,100000000,32,5,1100,68688831
0.756385,60000000,75,4,4050,122233971
0.748763,70000000,94,4,1770,104945765
0.717595,60000000,66,5,1248,62357900
0.713022,4500000,19,1,55,744816
0.710966,12000000,31,1,216,1644755
0.694443,15000000,9,2,755,100734718
0.6642,35000000,100,4,620,92219310
0.661609,70000000,33,5,1428,39041505
0.652939,8000000,27,4,755,10629321
0.643829,25000000,91,1,785,10589102
0.643164,30000000,115,1,3012,61808775
0.642045,20000000,42,2,378,1017401
0.630068,20000000,44,4,585,22942221
0.608282,40000000,50,1,1090,28169671
0.606857,9000000,69,1,335,985117
0.60652,7500000,43,1,1404,26096852
0.604388,75000000,78,5,1065,61458982
0.598075,25000000,70,1,4506,163670000
0.595489,65000000,92,1,1704,44091067
0.59517,50000000,45,2,1035,60161391
0.582225,14000000,31,1,320,875386
0.580292,85000000,54,3,9966,363164265
0.576401,20000000,13,1,468,17436509
0.565345,15000000,16,2,655,39421467
0.549975,35000000,9,3,1235,155545279
0.544071,15000000,8,2,965,8786375
0.53923,45000000,7,5,730,57881056
0.536017,3400000,6,5,1032,9444018
0.534693,3000000,24,4,44,18097
0.52916,10000000,32,4,1220,42333295
0.520419,15000000,71,1,210,5024782
0.510379,800000,10,1,444,867714
0.508705,78146652,79,3,620,60000000
0.492366,8500000,23,4,390,4440055
0.480074,9500000,51,3,2400,17164377
0.478888,8000000,81,1,470,10848783
0.476687,3500000,43,1,510,44462
0.472113,80000000,54,4,475,53825515
0.471747,6500000,47,4,366,1521261
0.461154,17000000,46,5,618,14899417
0.458932,17000000,20,2,280,20455276
0.457298,30000000,74,5,2478,95714875
0.447106,60000000,56,3,798,31720158
0.441444,19000000,12,2,1375,91379051
0.438147,25000000,76,2,245,1037335
0.429492,7300000,49,4,1032,10329747
0.427479,80000000,93,1,3775,122444772
0.426205,50000000,28,2,284,12764201
0.424415,35000000,31,2,540,73034460
0.415099,20000000,30,3,335,73830340
0.41491,15000000,11,5,114,113221
0.409005,15000000,35,1,1284,16633035
0.395616,45000000,31,1,1150,7810000
0.394989,4000000,10,1,140,143191
0.391859,150000000,61,3,16704,341131793
0.388026,4000000,12,3,189,4100000
0.378522,2900000,11,1,714,296557
0.376543,6000000,26,3,306,6670712
0.370497,40000000,69,1,205,19258519
0.363832,25000000,39,2,210,4388563
0.353203,8000000,39,2,250,29010817
0.348842,25000000,28,4,144,2336172
0.347707,40000000,33,2,80,28972508
0.319532,12500000,13,1,460,27206120
0.292324,23000000,45,2,145,9366227
0.290674,10000000,38,1,702,7022728
0.285353,20000000,17,2,515,18599102
0.278387,75,6,1,72,134
0.278321,10000000,42,2,402,295750
0.272422,1700000,5,2,205,1007962
0.249295,15000000,22,2,315,6405245
0.118533,1000000,14,5,85,1296971
0.226009,7000000,80,4,756,39462438
0.220819,2000000,41,1,72,7306
0.182881,2500000,23,2,77,352810
0.190162,7000000,11,1,55,1429299
0.159638,1500000,7,3,40,56000
0.145905,58000000,49,4,905,85280250
0.145081,5000000,5,5,370,38610009
0.114458,250000,17,2,80,232732
0.166371,25000000,19,1,96,20719451
0.092519,31192,5,1,90,10000
9.363643,160000000,64,5,68369,825500000
5.70486,200000000,96,3,29520,623933331
5.57295,200000000,86,3,17118,1025467110
5.29318,13000000,59,4,18179,327803731
4.840588,250000000,74,1,24269,954305868
3.791881,69000000,58,5,33957,543513985
3.74884,80000000,74,2,10125,274470394
3.560424,165000000,47,3,20643,494878759
3.176169,80000000,87,2,24878,294804195
2.911727,170000000,48,4,12156,400062763
2.865684,260000000,28,4,14133,591794936
2.711136,200000000,78,5,20468,1063171911
2.586787,110000000,46,5,8598,293329073
