popularity,budget,cast,release_date,voteScore,revenue,runtime,release_year,genres
2.354654,35000000,0,2,4100,82347656,96.0,2015.0,"['Action', 'Crime', 'Thriller']"
2.345821,100000000,0,4,4830,93820758,122.0,2015.0,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']"
2.331567,35000000,0,4,8197,137935567,133.0,2015.0,['Drama']
2.31767,35000000,1,5,5094,140795793,125.0,2015.0,['Comedy']
2.29573,13000000,1,1,1855,32848185,102.0,2015.0,"['Drama', 'Thriller', 'War']"
2.28135,25000000,0,1,3714,42972994,131.0,2015.0,"['Crime', 'Thriller']"
2.234573,150000000,0,1,2930,128388320,111.0,2015.0,"['Adventure', 'Family', 'Fantasy']"
2.140199,99000000,0,4,2484,246233113,88.0,2015.0,"['Adventure', 'Animation', 'Comedy', 'Family']"
2.121884,35000000,0,4,3000,48623572,123.0,2015.0,['Drama']
2.096273,25000000,0,4,2178,52395996,100.0,2015.0,['Comedy']
2.080935,2500000,0,5,1892,5214043,99.0,2015.0,"['Drama', 'Horror', 'Thriller']"
2.070708,34000000,0,3,4977,63013281,128.0,2015.0,"['Romance', 'Drama']"
2.060162,80000000,0,1,5514,466183544,89.0,2015.0,"['Animation', 'Comedy', 'Family']"
2.055572,17000000,2,4,555,24000000,107.0,2015.0,"['Family', 'Comedy']"
2.049886,35000000,1,1,4236,61181942,123.0,2015.0,"['Adventure', 'Drama', 'Thriller']"
2.026651,11000000,0,2,1630,1863315,94.0,2015.0,"['Action', 'Crime', 'Drama']"
2.000338,31000000,0,5,5076,104384188,99.0,2015.0,"['Adventure', 'Comedy']"
1.984529,35000000,1,5,2945,95437994,93.0,2015.0,"['Horror', 'Thriller']"
1.980039,4000000,0,5,1920,187112,95.0,2015.0,['Horror']
1.95632,50000000,1,3,1705,3324330,137.0,2015.0,"['Crime', 'Thriller']"
1.926739,5000000,0,5,3786,58978653,108.0,2015.0,"['Thriller', 'Mystery']"
1.904898,50000000,0,4,2840,240360392,96.0,2015.0,['Comedy']
1.865007,64000000,2,5,2961,97571250,92.0,2015.0,"['Adventure', 'Animation', 'Fantasy']"
1.82313,11930000,1,1,1182,18340000,118.0,2015.0,['Drama']
1.758618,8500000,0,2,4518,43528634,100.0,2015.0,"['Romance', 'Comedy']"
1.742286,10000000,0,2,1655,52882018,97.0,2015.0,['Horror']
1.73518,30000000,0,3,2110,107597242,94.0,2015.0,"['Action', 'Adventure', 'Comedy', 'Family']"
1.651078,4000000,0,2,2430,50163103,91.0,2015.0,['Thriller']
1.532997,30000000,0,5,2184,49263404,104.0,2015.0,['Comedy']
1.499614,15000000,0,1,1728,14860766,93.0,2015.0,"['Comedy', 'Horror']"
1.495112,5000000,0,1,3645,98450062,94.0,2015.0,"['Horror', 'Thriller']"
1.483246,53000000,0,1,5088,99775678,122.0,2015.0,"['Crime', 'Drama']"
1.449072,8900000,2,4,1165,50136,93.0,2015.0,"['Crime', 'Action', 'Thriller']"
1.448002,15000000,0,4,1710,61548707,98.0,2015.0,"['Horror', 'Comedy', 'Fantasy']"
1.443406,20000000,1,3,1610,208588,113.0,2015.0,"['Drama', 'Mystery', 'Thriller']"
1.41239,5000000,0,2,3114,54418872,103.0,2015.0,"['Action', 'Thriller']"
1.40805,700000,0,5,3136,17986781,103.0,2015.0,"['Crime', 'Drama', 'Comedy']"
1.388251,28000000,0,2,3475,28208085,96.0,2015.0,"['Comedy', 'Action']"
1.388032,11000000,1,3,1939,61619773,120.0,2015.0,['Drama']
1.376605,30000000,0,4,1995,105011053,118.0,2015.0,['Comedy']
1.360926,12000000,0,2,3822,32248241,106.0,2015.0,"['Science Fiction', 'Thriller']"
1.355822,25000000,0,1,2035,72629670,96.0,2015.0,"['Thriller', 'Action', 'Crime']"
1.345982,55000000,0,1,4914,74679822,119.0,2015.0,"['Mystery', 'Thriller', 'Fantasy', 'Horror', 'Drama']"
1.338481,14800000,0,5,3006,122413057,115.0,2015.0,"['Comedy', 'Drama', 'Music']"
1.338322,10000000,0,1,1335,78099553,88.0,2015.0,"['Horror', 'Thriller']"
1.316239,15000000,1,1,1911,8235661,124.0,2015.0,['Drama']
1.315266,19500000,2,1,1212,32189727,111.0,2015.0,"['Crime', 'Drama', 'Mystery']"
1.291013,74000000,0,2,2665,311594032,93.0,2015.0,"['Family', 'Animation']"
1.278928,20000000,0,5,1498,43967255,111.0,2015.0,"['Adventure', 'Drama', 'Family']"
1.225325,40000000,4,2,1415,10664749,115.0,2015.0,"['Action', 'Drama', 'Crime']"
1.191138,1000000,0,3,3215,62882090,82.0,2015.0,"['Horror', 'Thriller']"
1.178831,35000000,1,5,2360,51680201,87.0,2015.0,"['Action', 'Crime', 'Comedy']"
1.164724,10000000,0,5,3660,104303851,97.0,2015.0,"['Drama', 'Horror', 'Thriller']"
1.142518,6000000,2,4,675,41387687,104.0,2015.0,"['Comedy', 'Drama']"
1.138395,40000000,0,4,2040,34227298,109.0,2015.0,"['Drama', 'Science Fiction', 'Thriller']"
1.125239,8000000,0,4,1554,3759286,90.0,2015.0,"['Animation', 'Comedy', 'Drama', 'Romance']"
1.03839,2000000,0,2,1116,1477002,102.0,2015.0,"['Drama', 'Romance']"
1.007054,11000000,1,5,1914,27391084,95.0,2015.0,"['Mystery', 'Drama']"
0.956096,18000000,4,5,760,41325328,100.0,2015.0,"['Comedy', 'Drama', 'Music']"
0.950793,12000000,0,1,610,60273173,100.0,2015.0,"['Drama', 'Thriller']"
0.93762,10000000,0,3,1325,7587485,97.0,2015.0,"['Drama', 'Comedy']"
0.927339,40000000,0,3,3305,106511453,100.0,2015.0,['Comedy']
0.906036,25000000,1,2,1310,24902723,120.0,2015.0,"['History', 'Drama']"
0.898296,14000000,3,1,1617,16002420,106.0,2015.0,"['Drama', 'History']"
